DATE_YEAR,DATE_MONTH,MELDER
2020,1,7
2020,2,8
2020,3,7
2020,4,12
2020,5,11
2020,6,10
2020,7,6
2020,8,2
2020,9,4
2020,10,5
2020,11,5
2020,12,4
2021,1,5
2021,2,17
2021,3,12
2021,4,12
2021,5,10
2021,6,6
2021,7,7
2021,8,2
2021,9,3
2021,10,4
2021,11,7
2021,12,4
2022,1,12
2022,2,14
2022,3,12
2022,4,8
2022,5,11
2022,6,4
2022,7,7
2022,8,3
2022,9,2
2022,10,5
2022,11,4
2022,12,5
2023,1,6
2023,2,7
2023,3,9
2023,4,12
2023,5,12
2023,6,4
2023,7,4
2023,8,2
2023,9,7
2023,10,6
2023,11,4
2023,12,7
2024,1,9
2024,2,20
2024,3,13
2024,4,7
2024,5,5
2024,6,5
2024,7,7
2024,8,13
2024,9,15
2024,10,18
2024,11,15
2024,12,9
