TAXON,DATE_YEAR,OBSERVATIONS
Amsel,2012,1
Amsel,2016,1
Amsel,2018,1
Amsel,2019,2
Amsel,2020,1
Amsel,2021,5
Amsel,2022,1
Amsel,2023,3
Amsel,2024,11
Bergfink,2024,2
Bienenfresser,2024,1
Blaumeise,2021,1
Blaumeise,2023,2
Blaumeise,2024,37
Bluthänfling,2017,1
Bluthänfling,2018,1
Bluthänfling,2019,1
Bluthänfling,2020,1
Bluthänfling,2022,1
Bluthänfling,2024,7
Braunkehlchen,2024,1
Buchfink,2018,1
Buchfink,2024,5
Buntspecht,2023,1
Buntspecht,2024,15
Dorngrasmücke,2017,2
Eichelhäher,2017,2
Eichelhäher,2023,1
Erlenzeisig,2023,1
Erlenzeisig,2024,3
Feldlerche,2019,1
Feldlerche,2020,1
Feldlerche,2022,1
Feldlerche,2023,1
Feldlerche,2024,1
Feldsperling,2023,1
Feldsperling,2024,6
Fichtenkreuzschnabel,2015,6
Fichtenkreuzschnabel,2018,7
Fichtenkreuzschnabel,2020,5
Fichtenkreuzschnabel,2024,23
Fitis,2012,1
Fitis,2014,1
Fitis,2015,1
Fitis,2016,1
Fitis,2017,3
Fitis,2018,1
Fitis,2019,1
Fitis,2020,1
Fitis,2021,1
Fitis,2024,2
Gartenbaumläufer,2015,1
Gartenbaumläufer,2016,1
Gartenbaumläufer,2017,2
Gartenbaumläufer,2020,1
Gartenbaumläufer,2022,3
Gartenbaumläufer,2023,1
Gartenbaumläufer,2024,9
Gelbbrauen-Laubsänger,2021,1
Gelbspötter,1999,1
Gimpel,2024,25
Girlitz,2019,2
Girlitz,2020,2
Goldammer,2016,2
Goldammer,2017,4
Goldammer,2019,1
Goldammer,2020,2
Goldammer,2022,4
Goldammer,2023,2
Goldammer,2024,16
Grauspecht,2017,1
Grauspecht,2018,1
Grauspecht,2019,4
Grauspecht,2020,6
Grauspecht,2021,4
Grauspecht,2022,5
Grauspecht,2023,1
Grauspecht,2024,2
Grünfink,2013,1
Grünfink,2023,1
Grünfink,2024,19
Grünspecht,2020,1
Grünspecht,2023,1
Grünspecht,2024,9
Haubenmeise,2017,1
Haubenmeise,2018,1
Haubenmeise,2020,3
Haubenmeise,2021,1
Haubenmeise,2024,4
Hausrotschwanz,2014,3
Hausrotschwanz,2015,2
Hausrotschwanz,2016,3
Hausrotschwanz,2017,10
Hausrotschwanz,2018,8
Hausrotschwanz,2019,6
Hausrotschwanz,2020,1
Hausrotschwanz,2021,10
Hausrotschwanz,2022,5
Hausrotschwanz,2023,7
Hausrotschwanz,2024,30
Haussperling,2020,1
Haussperling,2023,1
Haussperling,2024,5
Heckenbraunelle,2018,1
Heckenbraunelle,2019,1
Heidelerche,2021,1
Hohltaube,2018,2
Hohltaube,2022,2
Kernbeißer,2014,1
Kernbeißer,2024,2
Kleiber,2017,1
Kleiber,2019,1
Kleiber,2020,1
Kleiber,2021,1
Kleiber,2023,7
Kleiber,2024,25
Kleinspecht,2019,4
Kleinspecht,2020,3
Kleinspecht,2022,4
Kleinspecht,2024,2
Kohlmeise,2023,1
Kohlmeise,2024,36
Kolkrabe,2020,1
Kolkrabe,2024,1
Misteldrossel,2018,3
Misteldrossel,2024,2
Mornellregenpfeifer,2017,1
Mönchsgrasmücke,2013,1
Mönchsgrasmücke,2014,1
Mönchsgrasmücke,2018,1
Mönchsgrasmücke,2021,1
Mönchsgrasmücke,2023,1
Mönchsgrasmücke,2024,7
Neuntöter,2021,1
Pirol,2018,1
Raubwürger,2013,2
Raubwürger,2014,2
Raubwürger,2016,1
Ringeltaube,2024,20
Rotkehlchen,2014,1
Rotkehlchen,2015,2
Rotkehlchen,2016,5
Rotkehlchen,2017,4
Rotkehlchen,2018,3
Rotkehlchen,2019,2
Rotkehlchen,2021,3
Rotkehlchen,2022,3
Rotkehlchen,2023,9
Rotkehlchen,2024,82
Rotmilan,2021,1
Schwarzspecht,2020,1
Schwarzspecht,2021,1
Schwarzspecht,2022,1
Schwarzspecht,2023,1
Schwarzspecht,2024,6
Sommergoldhähnchen,2016,2
Sommergoldhähnchen,2019,2
Sommergoldhähnchen,2021,1
Sommergoldhähnchen,2022,2
Sommergoldhähnchen,2024,7
Sperber,2014,1
Star,2023,1
Star,2024,15
Stieglitz,2015,1
Stieglitz,2024,26
Straßentaube,2023,1
Sumpfmeise,2015,2
Sumpfmeise,2016,1
Sumpfmeise,2017,1
Sumpfmeise,2018,1
Sumpfmeise,2019,1
Sumpfmeise,2020,1
Sumpfmeise,2021,1
Sumpfmeise,2022,4
Sumpfmeise,2023,1
Sumpfmeise,2024,6
Sumpfrohrsänger,2017,1
Tannenmeise,2013,1
Tannenmeise,2014,1
Tannenmeise,2015,2
Tannenmeise,2016,8
Tannenmeise,2023,1
Tannenmeise,2024,64
Teichrohrsänger,2017,1
Teichrohrsänger,2018,1
Turmfalke,2024,1
Türkentaube,2017,1
Türkentaube,2018,3
Türkentaube,2020,1
Türkentaube,2024,1
Uhu,2023,2
Wachtel,2016,1
Waldbaumläufer,2018,2
Waldbaumläufer,2019,1
Waldbaumläufer,2020,1
Waldbaumläufer,2021,3
Waldbaumläufer,2022,1
Waldbaumläufer,2023,3
Waldbaumläufer,2024,3
Waldkauz,2014,4
Waldkauz,2016,7
Waldkauz,2018,17
Waldkauz,2019,2
Waldkauz,2020,21
Waldkauz,2021,1
Waldkauz,2022,20
Waldkauz,2023,17
Waldkauz,2024,14
Wasseramsel,2012,1
Wasseramsel,2015,4
Wasseramsel,2016,3
Wasseramsel,2017,3
Wasseramsel,2018,16
Wasseramsel,2019,8
Wasseramsel,2020,7
Wasseramsel,2021,16
Wasseramsel,2022,8
Wasseramsel,2023,11
Wasseramsel,2024,8
Weidenmeise,2017,1
Weidenmeise,2018,1
Weidenmeise,2019,2
Weidenmeise,2020,4
Weidenmeise,2022,1
Weidenmeise,2023,3
Weidenmeise,2024,4
Wintergoldhähnchen,2016,3
Wintergoldhähnchen,2017,1
Wintergoldhähnchen,2020,1
Wintergoldhähnchen,2021,4
Wintergoldhähnchen,2024,8
Zaunkönig,2012,1
Zaunkönig,2014,2
Zaunkönig,2015,1
Zaunkönig,2016,2
Zaunkönig,2017,2
Zaunkönig,2018,3
Zaunkönig,2019,3
Zaunkönig,2020,6
Zaunkönig,2021,8
Zaunkönig,2022,5
Zaunkönig,2023,6
Zaunkönig,2024,19
Zilpzalp,2012,3
Zilpzalp,2013,1
Zilpzalp,2014,7
Zilpzalp,2015,4
Zilpzalp,2016,4
Zilpzalp,2017,11
Zilpzalp,2018,5
Zilpzalp,2019,3
Zilpzalp,2020,5
Zilpzalp,2021,9
Zilpzalp,2022,1
Zilpzalp,2023,5
Zilpzalp,2024,30
Zwergtaucher,2021,1
