TAXON,DATE_DECADE,OBSERVATIONS
Amsel,24,2
Amsel,26,4
Amsel,27,1
Amsel,28,2
Amsel,29,2
Amsel,31,1
Amsel,32,4
Amsel,33,3
Amsel,34,2
Amsel,35,2
Amsel,36,3
Bergfink,31,1
Bergfink,34,1
Bienenfresser,25,1
Blaumeise,23,6
Blaumeise,24,3
Blaumeise,25,3
Blaumeise,26,4
Blaumeise,27,2
Blaumeise,29,3
Blaumeise,30,2
Blaumeise,31,1
Blaumeise,32,1
Blaumeise,34,2
Blaumeise,35,3
Blaumeise,36,10
Bluthänfling,22,2
Bluthänfling,28,1
Bluthänfling,31,5
Bluthänfling,32,2
Bluthänfling,34,2
Braunkehlchen,22,1
Buchfink,23,1
Buchfink,26,1
Buchfink,27,2
Buchfink,28,1
Buchfink,29,1
Buntspecht,31,2
Buntspecht,32,2
Buntspecht,33,3
Buntspecht,35,2
Buntspecht,36,7
Dorngrasmücke,23,2
Eichelhäher,34,1
Eichelhäher,36,2
Erlenzeisig,35,1
Erlenzeisig,36,3
Feldlerche,22,1
Feldlerche,27,2
Feldlerche,28,2
Feldsperling,33,1
Feldsperling,34,2
Feldsperling,35,1
Feldsperling,36,3
Fichtenkreuzschnabel,25,1
Fichtenkreuzschnabel,28,4
Fichtenkreuzschnabel,29,9
Fichtenkreuzschnabel,30,3
Fichtenkreuzschnabel,31,9
Fichtenkreuzschnabel,32,5
Fichtenkreuzschnabel,33,3
Fichtenkreuzschnabel,34,1
Fichtenkreuzschnabel,35,4
Fichtenkreuzschnabel,36,2
Fitis,22,3
Fitis,23,3
Fitis,24,1
Fitis,25,1
Fitis,26,1
Fitis,27,4
Gartenbaumläufer,23,1
Gartenbaumläufer,24,4
Gartenbaumläufer,26,1
Gartenbaumläufer,27,2
Gartenbaumläufer,28,2
Gartenbaumläufer,29,2
Gartenbaumläufer,33,1
Gartenbaumläufer,35,1
Gartenbaumläufer,36,4
Gelbbrauen-Laubsänger,28,1
Gelbspötter,22,1
Gimpel,22,1
Gimpel,23,1
Gimpel,24,2
Gimpel,25,4
Gimpel,27,1
Gimpel,28,1
Gimpel,29,2
Gimpel,31,3
Gimpel,32,1
Gimpel,33,2
Gimpel,34,1
Gimpel,35,3
Gimpel,36,3
Girlitz,22,4
Goldammer,22,5
Goldammer,25,1
Goldammer,27,2
Goldammer,28,6
Goldammer,29,7
Goldammer,30,5
Goldammer,31,4
Goldammer,36,1
Grauspecht,22,2
Grauspecht,23,1
Grauspecht,25,2
Grauspecht,27,4
Grauspecht,28,2
Grauspecht,29,2
Grauspecht,30,3
Grauspecht,31,1
Grauspecht,32,3
Grauspecht,33,1
Grauspecht,35,1
Grauspecht,36,2
Grünfink,22,5
Grünfink,24,2
Grünfink,25,1
Grünfink,27,1
Grünfink,29,1
Grünfink,30,1
Grünfink,31,2
Grünfink,32,2
Grünfink,33,1
Grünfink,34,1
Grünfink,35,2
Grünfink,36,2
Grünspecht,24,1
Grünspecht,25,4
Grünspecht,27,1
Grünspecht,29,1
Grünspecht,33,2
Grünspecht,34,1
Grünspecht,35,1
Haubenmeise,23,1
Haubenmeise,24,1
Haubenmeise,25,1
Haubenmeise,27,2
Haubenmeise,29,1
Haubenmeise,30,1
Haubenmeise,32,1
Haubenmeise,34,1
Haubenmeise,35,1
Hausrotschwanz,23,1
Hausrotschwanz,24,1
Hausrotschwanz,25,14
Hausrotschwanz,26,24
Hausrotschwanz,27,20
Hausrotschwanz,28,8
Hausrotschwanz,29,10
Hausrotschwanz,30,2
Hausrotschwanz,31,4
Hausrotschwanz,32,1
Haussperling,24,1
Haussperling,29,1
Haussperling,31,1
Haussperling,32,1
Haussperling,33,1
Haussperling,36,2
Heckenbraunelle,25,1
Heckenbraunelle,27,1
Heidelerche,27,1
Hohltaube,22,2
Hohltaube,28,1
Hohltaube,36,1
Kernbeißer,31,1
Kernbeißer,34,1
Kernbeißer,35,1
Kleiber,23,2
Kleiber,24,3
Kleiber,25,4
Kleiber,26,6
Kleiber,27,1
Kleiber,29,1
Kleiber,32,1
Kleiber,33,1
Kleiber,34,6
Kleiber,35,5
Kleiber,36,6
Kleinspecht,22,2
Kleinspecht,23,1
Kleinspecht,24,1
Kleinspecht,25,1
Kleinspecht,26,3
Kleinspecht,31,1
Kleinspecht,33,1
Kleinspecht,35,1
Kleinspecht,36,2
Kohlmeise,24,2
Kohlmeise,25,4
Kohlmeise,26,4
Kohlmeise,27,7
Kohlmeise,28,8
Kohlmeise,29,5
Kohlmeise,33,1
Kohlmeise,34,1
Kohlmeise,35,1
Kohlmeise,36,4
Kolkrabe,25,1
Kolkrabe,28,1
Misteldrossel,35,2
Misteldrossel,36,3
Mornellregenpfeifer,28,1
Mönchsgrasmücke,22,2
Mönchsgrasmücke,23,1
Mönchsgrasmücke,24,2
Mönchsgrasmücke,25,3
Mönchsgrasmücke,26,3
Mönchsgrasmücke,27,1
Neuntöter,22,1
Pirol,22,1
Raubwürger,29,1
Raubwürger,30,3
Raubwürger,33,1
Ringeltaube,22,5
Ringeltaube,23,6
Ringeltaube,24,5
Ringeltaube,25,4
Rotkehlchen,23,2
Rotkehlchen,24,5
Rotkehlchen,25,5
Rotkehlchen,26,1
Rotkehlchen,27,6
Rotkehlchen,28,9
Rotkehlchen,29,16
Rotkehlchen,30,24
Rotkehlchen,31,15
Rotkehlchen,32,14
Rotkehlchen,33,6
Rotkehlchen,34,3
Rotkehlchen,35,5
Rotkehlchen,36,3
Rotmilan,26,1
Schwarzspecht,23,2
Schwarzspecht,24,2
Schwarzspecht,26,1
Schwarzspecht,27,1
Schwarzspecht,31,1
Schwarzspecht,34,1
Schwarzspecht,36,2
Sommergoldhähnchen,22,2
Sommergoldhähnchen,23,3
Sommergoldhähnchen,24,1
Sommergoldhähnchen,25,3
Sommergoldhähnchen,26,2
Sommergoldhähnchen,27,2
Sommergoldhähnchen,28,1
Sperber,29,1
Star,26,2
Star,27,4
Star,28,5
Star,29,4
Star,30,1
Stieglitz,22,6
Stieglitz,24,1
Stieglitz,25,1
Stieglitz,27,1
Stieglitz,28,1
Stieglitz,29,2
Stieglitz,30,2
Stieglitz,31,4
Stieglitz,32,4
Stieglitz,33,1
Stieglitz,34,4
Straßentaube,36,1
Sumpfmeise,23,1
Sumpfmeise,25,2
Sumpfmeise,27,1
Sumpfmeise,31,1
Sumpfmeise,32,1
Sumpfmeise,33,1
Sumpfmeise,34,1
Sumpfmeise,35,6
Sumpfmeise,36,5
Sumpfrohrsänger,23,1
Tannenmeise,22,1
Tannenmeise,23,12
Tannenmeise,24,6
Tannenmeise,25,13
Tannenmeise,26,11
Tannenmeise,27,6
Tannenmeise,28,8
Tannenmeise,29,4
Tannenmeise,30,2
Tannenmeise,34,3
Tannenmeise,35,3
Tannenmeise,36,8
Teichrohrsänger,23,2
Turmfalke,24,1
Türkentaube,22,3
Türkentaube,24,2
Türkentaube,31,1
Uhu,27,1
Uhu,28,1
Wachtel,22,1
Waldbaumläufer,22,1
Waldbaumläufer,25,4
Waldbaumläufer,26,1
Waldbaumläufer,27,1
Waldbaumläufer,30,2
Waldbaumläufer,33,1
Waldbaumläufer,35,2
Waldbaumläufer,36,2
Waldkauz,22,2
Waldkauz,23,8
Waldkauz,24,5
Waldkauz,25,11
Waldkauz,26,5
Waldkauz,27,5
Waldkauz,28,6
Waldkauz,29,14
Waldkauz,30,8
Waldkauz,31,9
Waldkauz,32,8
Waldkauz,33,7
Waldkauz,34,2
Waldkauz,35,4
Waldkauz,36,9
Wasseramsel,22,1
Wasseramsel,23,1
Wasseramsel,24,1
Wasseramsel,25,5
Wasseramsel,26,1
Wasseramsel,27,7
Wasseramsel,28,2
Wasseramsel,29,2
Wasseramsel,30,3
Wasseramsel,31,6
Wasseramsel,32,6
Wasseramsel,33,11
Wasseramsel,34,15
Wasseramsel,35,11
Wasseramsel,36,13
Weidenmeise,22,1
Weidenmeise,23,1
Weidenmeise,24,1
Weidenmeise,25,1
Weidenmeise,26,1
Weidenmeise,28,1
Weidenmeise,31,1
Weidenmeise,33,1
Weidenmeise,35,2
Weidenmeise,36,6
Wintergoldhähnchen,23,2
Wintergoldhähnchen,24,4
Wintergoldhähnchen,25,4
Wintergoldhähnchen,26,1
Wintergoldhähnchen,27,2
Wintergoldhähnchen,29,1
Wintergoldhähnchen,32,1
Wintergoldhähnchen,36,2
Zaunkönig,23,2
Zaunkönig,24,3
Zaunkönig,25,2
Zaunkönig,26,2
Zaunkönig,28,5
Zaunkönig,29,8
Zaunkönig,30,4
Zaunkönig,31,7
Zaunkönig,32,9
Zaunkönig,33,3
Zaunkönig,34,4
Zaunkönig,35,4
Zaunkönig,36,5
Zilpzalp,24,6
Zilpzalp,25,13
Zilpzalp,26,19
Zilpzalp,27,15
Zilpzalp,28,17
Zilpzalp,29,14
Zilpzalp,30,4
Zwergtaucher,31,1
