DATE_DECADE,A2ohneGesang,A2mitGesang,GesangOhneA2,wederA2nochGesang,TAXON
1,0.0,0.0,0.0,3.0,Alpenbirkenzeisig
2,0.0,0.0,0.0,4.0,Alpenbirkenzeisig
3,0.0,0.0,0.0,2.0,Alpenbirkenzeisig
4,0.0,0.0,0.0,0.0,Alpenbirkenzeisig
5,0.0,0.0,0.0,2.0,Alpenbirkenzeisig
6,0.0,0.0,0.0,1.0,Alpenbirkenzeisig
7,0.0,0.0,0.0,1.0,Alpenbirkenzeisig
8,0.0,0.0,0.0,6.0,Alpenbirkenzeisig
9,0.0,0.0,0.0,0.0,Alpenbirkenzeisig
10,0.0,0.0,0.0,1.0,Alpenbirkenzeisig
11,0.0,0.0,0.0,0.0,Alpenbirkenzeisig
12,0.0,0.0,0.0,0.0,Alpenbirkenzeisig
13,0.0,0.0,0.0,0.0,Alpenbirkenzeisig
14,0.0,0.0,0.0,0.0,Alpenbirkenzeisig
15,0.0,0.0,0.0,0.0,Alpenbirkenzeisig
16,0.0,0.0,0.0,0.0,Alpenbirkenzeisig
17,0.0,0.0,0.0,0.0,Alpenbirkenzeisig
18,0.0,0.0,0.0,0.0,Alpenbirkenzeisig
19,0.0,0.0,0.0,0.0,Alpenbirkenzeisig
20,0.0,0.0,0.0,0.0,Alpenbirkenzeisig
21,0.0,0.0,0.0,0.0,Alpenbirkenzeisig
22,0.0,0.0,0.0,0.0,Alpenbirkenzeisig
23,0.0,0.0,0.0,0.0,Alpenbirkenzeisig
24,0.0,0.0,0.0,0.0,Alpenbirkenzeisig
25,0.0,0.0,0.0,0.0,Alpenbirkenzeisig
26,0.0,0.0,0.0,0.0,Alpenbirkenzeisig
27,0.0,0.0,0.0,0.0,Alpenbirkenzeisig
28,0.0,0.0,0.0,0.0,Alpenbirkenzeisig
29,0.0,0.0,0.0,1.0,Alpenbirkenzeisig
30,0.0,0.0,0.0,2.0,Alpenbirkenzeisig
31,0.0,0.0,0.0,0.0,Alpenbirkenzeisig
32,0.0,0.0,0.0,3.0,Alpenbirkenzeisig
33,0.0,0.0,0.0,3.0,Alpenbirkenzeisig
34,0.0,0.0,0.0,0.0,Alpenbirkenzeisig
35,0.0,0.0,0.0,6.0,Alpenbirkenzeisig
36,0.0,0.0,0.0,2.0,Alpenbirkenzeisig
1,0.0,0.0,0.0,0.0,Alpenmeise
2,0.0,0.0,0.0,0.0,Alpenmeise
3,0.0,0.0,0.0,0.0,Alpenmeise
4,0.0,0.0,0.0,0.0,Alpenmeise
5,0.0,0.0,0.0,0.0,Alpenmeise
6,0.0,0.0,1.0,4.0,Alpenmeise
7,0.0,2.0,0.0,0.0,Alpenmeise
8,5.0,0.0,0.0,1.0,Alpenmeise
9,0.0,0.0,0.0,0.0,Alpenmeise
10,3.0,1.0,0.0,0.0,Alpenmeise
11,0.0,0.0,0.0,0.0,Alpenmeise
